id,golfer,date,course,city,state,tees,rating,slope,duration,transport
1,Will,6/17/2018,Mercer Oaks Golf Course (West),Princeton Junction,NJ,White,70.7,131,2:20,Cart
2,Will,6/22/2018,Eisenhower Park GC (White),East Meadow,NY,White,71,124,2:24,Cart
3,Will,7/7/2018,Bethpage State Park Golf Course (Red),Farmingdale,NY,White,71.9,127,4:45,Cart
5,Will,9/23/2019,Skyway Golf Course at Lincoln Park West,Jersey City,NJ,White,68.2,118,2:06,Cart
6,Will,10/8/2019,Mountain View Golf Course,Ewing,NJ,White,71.8,122,2:32,Cart
7,Will,6/6/2020,Ramblewood Country Club (Red),Mount Laurel,NJ,White,70.8,129,3:08,Cart
8,Will,6/25/2020,Newton Commonwealth Golf Course,Newton,MA,Blue,67,119,4:36,Walk
9,Will,7/12/2020,Leo J Martin GC,Blue,Weston,MA,69.2,116,2:30,Walk
10,Will,7/19/2020,Patriot Golf Course,Bedford,MA,Blue,68.6,128,2:06,Walk
11,Will,8/2/2020,Pine Meadows GC,Lexington,MA,Blue,67,105,2:05,Walk
12,Will,8/22/2020,Leo J Martin GC,Weston,MA,Blue,34.6,116,2:15,Walk
13,Will,9/18/2020,Newton Commonwealth Golf Course,Newton,MA,Blue,67,119,4:35,Walk
14,Will,9/26/2020,Quail Ridge Country Club,Acton,MA,White-Blue,68.6,128,4:47,Walk
15,Will,10/2/2020,Westborough CC,Westborough,MA,White,34.3,119,2:30,Walk
16,Will,10/10/2020,Norwood CC,Norwood,MA,Gold,67.1,113,4:55,Walk
17,Will,10/18/2020,Butter Brook GC,Westford,MA,White,68.6,120,4:41,Walk
18,Will,10/24/2020,Sassamon Trace Golf Course,Natick,MA,White,30.7,111,2:25,Walk
19,Will,4/24/2021,Berlin CC,Berlin,MA,Men,62.9,108,2:25,Walk
20,Will,6/19/2021,Maynard GC,Maynard,MA,White,34.1,119,2:00,Walk
21,Will,6/25/2021,William J Devine GC,Dorchester,MA,Blue,69.5,126,4:18,Walk
22,Will,7/5/2021,South Shore CC,Hingham,MA,White,68.9,131,4:40,Walk
23,Will,8/6/2021,Robert T. Lynch GC,Brookline,MA,White,68.1,116,4:39,Walk
24,Will,8/20/2021,Butter Brook GC,Westford,MA,White,68.6,120,4:57,Cart
25,Will,8/28/2021,Sandy Burr CC,Wayland,MA,White,68.3,124,4:44,Cart
26,Will,9/3/2021,Wayland CC,Wayland,MA,White,66.3,114,4:40,Walk
27,Will,9/17/2021,Wellesley CC,Wellesley Hills,MA,White,71.0,129,4:23,Walk (Push)
28,Will,9/18/2021,Butter Brook GC,Westford,MA,White,68.6,120,4:52,Cart
29,Will,10/16/2021,Red Tail GC,Devens,MA,Gold,68.5,126,5:03,Cart
30,Will,10/28/2021,Wayland CC,Wayland,MA,White,66.3,114,1:50,Walk
31,Will,11/14/2021,Sandy Burr CC,Wayland,MA,White,34.3,121,1:53,Walk
32,Will,11/18/2021,Wayland CC,Wayland,MA,White,66.3,114,2:13,Walk
33,Will,6/13/2022,Westborough CC,Westborough,MA,White,34.3,119,2:06,Walk
34,Will,6/24/2022,Fresh Pond GC,Cambridge,MA,White,33.7,117,2:17,Walk
35,Will,9/3/2022,Weston GC,Weston,MA,White,70.1,130,4:04,Walk
36,Will,9/11/2022,Quail Ridge CC,Acton,MA,White-Blue,34.2,128,2:17,Walk (Push)